,Radius (ft),Length (ft)
0,86.26904809,3.28084
0,91.29677052,3.28084
0,94.48977969,3.28084
0,94.53404478,3.28084
0,98.395751,3.28084
0,104.0503466,3.28084
0,111.3745541,3.28084
0,117.5542071,3.28084
0,128.4429257,3.28084
0,149.9428999,3.28084
0,169.0806623,3.28084
0,226.593798,3.28084
0,275.5804269,3.28084
0,313.9558002,3.28084
0,601.6242558,3.28084
0,531.812321,3.28084
0,453.9738313,3.28084
0,373.2858007,3.28084
0,41.20028712,3.28084
0,28.79432773,3.28084
0,25.66048255,3.28084
0,25.52086441,3.28084
0,26.89275086,3.28084
0,27.35105639,3.28084
0,26.56380267,3.28084
0,25.93102472,3.28084
0,28.61974799,3.28084
0,30.1398195,3.28084
0,31.30825851,3.28084
0,31.09669418,3.28084
0,88.74453421,3.28084
0,147.9000698,3.28084
0,193.6686143,3.28084
0,240.5180002,3.28084
0,185.3887203,3.28084
0,127.051822,3.28084
0,82.02469297,3.28084
0,40.69068981,3.28084
0,40.74734285,3.28084
0,50.13875664,3.28084
0,59.95902476,3.28084
0,66.08616701,3.28084
0,80.26103262,3.28084
0,81.00532943,3.28084
0,77.24257047,3.28084
0,76.4006385,3.28084
0,67.31301159,3.28084
0,65.52881125,3.28084
0,68.25166668,3.28084
0,73.12548537,3.28084
0,78.19727563,3.28084
0,81.68939983,3.28084
0,96.73203388,3.28084
0,324.9953574,3.28084
0,553.2586809,3.28084
0,662.0204872,3.28084
0,759.2317835,3.28084
0,1367.734216,3.28084
0,1452.048705,3.28084
0,1515.642879,3.28084
0,1579.237052,3.28084
0,913.24761,3.28084
0,704.5795971,3.28084
0,637.7130837,3.28084
0,570.8465702,3.28084
0,450.4961105,3.28084
0,397.0121644,3.28084
0,293.7862023,3.28084
0,179.5367476,3.28084
0,115.7842877,3.28084
0,52.03182779,3.28084
0,37.16391104,3.28084
0,33.31948689,3.28084
0,33.51103394,3.28084
0,36.67459233,3.28084
0,39.63163472,3.28084
0,42.58867711,3.28084
0,40.95638206,3.28084
0,35.50066676,3.28084
0,31.10894021,3.28084
0,28.9105923,3.28084
0,28.43255185,3.28084
0,29.51630452,3.28084
0,29.34740421,3.28084
0,26.80575851,3.28084
0,29.25223712,3.28084
0,33.28930911,3.28084
0,278.1928781,3.28084
0,523.2758139,3.28084
0,765.1906356,3.28084
0,770.4989421,3.28084
0,528.7839215,3.28084
0,287.0689009,3.28084
0,45.34741897,3.28084
0,38.763988,3.28084
0,706.3971018,3.28084
0,1374.030216,3.28084
0,1376.323494,3.28084
0,1377.784259,3.28084
0,712.4379627,3.28084
0,41.9853593,3.28084
0,37.96855579,3.28084
0,33.38392705,3.28084
0,27.85217842,3.28084
0,27.07502634,3.28084
0,25.87809798,3.28084
0,27.4496038,3.28084
0,31.38744602,3.28084
0,36.1020538,3.28084
0,40.22859752,3.28084
0,42.61594672,3.28084
0,51.91180745,3.28084
0,84.76541198,3.28084
0,117.5373536,3.28084
0,143.1552535,3.28084
0,501.4245288,3.28084
0,573.9229515,3.28084
0,612.5216466,3.28084
0,608.0481969,3.28084
0,262.5956436,3.28084
0,171.2119825,3.28084
0,104.3062896,3.28084
0,87.16536888,3.28084
0,67.20137275,3.28084
0,52.21723693,3.28084
0,45.71377587,3.28084
0,40.61569765,3.28084
0,38.34069482,3.28084
0,39.85082895,3.28084
0,44.60036626,3.28084
0,52.92474008,3.28084
0,61.24911391,3.28084
0,103.3301132,3.28084
0,141.1364618,3.28084
0,173.9625911,3.28084
0,178.6955164,3.28084
0,150.7131928,3.28084
0,125.3430522,3.28084
0,99.77154618,3.28084
0,109.3776089,3.28084
0,116.8964594,3.28084
0,133.1731551,3.28084
0,149.6512162,3.28084
0,139.2813484,3.28084
0,133.6984832,3.28084
0,118.7219218,3.28084
0,103.7453604,3.28084
0,114.3740644,3.28084
0,138.1060255,3.28084
0,165.7701995,3.28084
0,193.4343735,3.28084
0,215.2568461,3.28084
0,209.0598067,3.28084
0,197.2898802,3.28084
0,184.747876,3.28084
0,172.2058719,3.28084
0,169.7931199,3.28084
0,172.705293,3.28084
0,168.7858895,3.28084
0,157.411846,3.28084
0,144.2865627,3.28084
0,123.8248847,3.28084
0,110.9668608,3.28084
0,105.0971141,3.28084
0,100.9786072,3.28084
0,100.5122444,3.28084
0,103.6836103,3.28084
0,104.6205126,3.28084
0,105.5574148,3.28084
0,125.0602266,3.28084
0,268.5360983,3.28084
0,414.7127966,3.28084
0,910.2272972,3.28084
0,1387.175888,3.28084
0,1288.850234,3.28084
0,1181.715858,3.28084
0,1034.072503,3.28084
0,886.4291469,3.28084
0,906.0557955,3.28084
0,853.4034463,3.28084
0,491.9222747,3.28084
0,128.5438865,3.28084
0,45.82541307,3.28084
0,44.74849231,3.28084
0,43.70599845,3.28084
0,45.70407469,3.28084
0,47.43568799,3.28084
0,48.61346841,3.28084
0,99.35579378,3.28084
0,240.3025632,3.28084
0,381.2493327,3.28084
0,403.2301919,3.28084
0,363.6559766,3.28084
0,229.6364014,3.28084
0,96.02500977,3.28084
0,86.91950685,3.28084
0,97.41387501,3.28084
0,358.130439,3.28084
0,618.4388194,3.28084
0,873.2072214,3.28084
0,889.3915382,3.28084
0,658.4512215,3.28084
0,392.612531,3.28084
0,123.2161072,3.28084
0,83.35014535,3.28084
0,42.71045735,3.28084
0,36.48906832,3.28084
0,33.73794707,3.28084
0,32.39668066,3.28084
0,31.82914036,3.28084
0,31.74167489,3.28084
0,31.69728147,3.28084
0,32.61410833,3.28084
0,36.21452018,3.28084
0,40.86953347,3.28084
0,45.56894017,3.28084
0,49.30712659,3.28084
0,56.469308,3.28084
0,59.77009326,3.28084
0,65.94532673,3.28084
0,84.67179072,3.28084
0,97.29067472,3.28084
0,175.5236184,3.28084
0,180.8648173,3.28084
0,160.734913,3.28084
0,136.971292,3.28084
0,49.73018646,3.28084
0,33.9168567,3.28084
0,31.02339972,3.28084
0,31.76365941,3.28084
0,33.17413878,3.28084
0,33.17413878,3.28084
0,36.63754982,3.28084
0,40.83896821,3.28084
0,47.43631358,3.28084
0,52.06216106,3.28084
0,54.00048954,3.28084
0,62.55334084,3.28084
0,68.71026516,3.28084
0,95.51391388,3.28084
0,3159.571562,3.28084
0,3197.522752,3.28084
0,3270.502878,3.28084
0,3324.807777,3.28084
0,309.2462632,3.28084
0,281.2691505,3.28084
0,207.5101857,3.28084
0,127.5976458,3.28084
0,76.49893345,3.28084
0,56.56974732,3.28084
0,47.17125293,3.28084
0,46.48493075,3.28084
0,54.0416363,3.28084
0,63.13503743,3.28084
0,65.01136122,3.28084
0,64.91269204,3.28084
0,63.32531978,3.28084
0,73.01562029,3.28084
0,90.1452234,3.28084
0,106.6912223,3.28084
0,180.1528768,3.28084
0,240.8001629,3.28084
0,248.7856856,3.28084
0,256.7712082,3.28084
0,212.6016166,3.28084
0,168.4320249,3.28084
0,162.8661702,3.28084
0,157.3003154,3.28084
0,129.4532937,3.28084
0,105.4585376,3.28084
0,95.5218081,3.28084
0,82.94937072,3.28084
0,82.64616413,3.28084
0,78.49069197,3.28084
0,74.33521982,3.28084
0,71.40357046,3.28084
0,75.1040761,3.28084
0,79.71490776,3.28084
0,84.32573942,3.28084
0,88.84940092,3.28084
0,88.26067171,3.28084
0,84.34948628,3.28084
0,80.43830085,3.28084
0,78.20482903,3.28084
0,75.9713572,3.28084
0,81.29801239,3.28084
0,700.6725659,3.28084
0,753.7078286,3.28084
0,806.7430913,3.28084
0,812.7308251,3.28084
0,204.6706605,3.28084
0,162.7711285,3.28084
0,120.1129984,3.28084
0,119.3544003,3.28084
0,113.8032879,3.28084
0,109.7887166,3.28084
0,106.5327434,3.28084
0,105.6605389,3.28084
0,126.5102851,3.28084
0,203.6664081,3.28084
0,240.837707,3.28084
0,269.3021833,3.28084
0,277.9048411,3.28084
0,424.5509535,3.28084
0,914.2745243,3.28084
0,1410.321149,3.28084
0,2133.639094,3.28084
0,5183.121868,3.28084
0,5379.319158,3.28084
0,5638.788363,3.28084
0,7679.727401,3.28084
0,7198.615237,3.28084
0,7533.723268,3.28084
0,7160.539257,3.28084
0,4781.546474,3.28084
0,2402.553692,3.28084
0,2200.983868,3.28084
0,1959.392152,3.28084
0,1717.800435,3.28084
0,1476.208718,3.28084
0,840.3053176,3.28084
0,3814.984478,3.28084
0,7.15E+18,3.28084
0,7.15E+18,3.28084
0,7.15E+18,3.28084
0,7.15E+18,3.28084
0,942.7800436,3.28084
0,846.3931025,3.28084
0,850.6997344,3.28084
0,951.3933074,3.28084
0,966.6629348,3.28084
0,981.9325623,3.28084
0,896.5086168,3.28084
0,823.253157,3.28084
0,971.8223539,3.28084
0,1120.391551,3.28084
0,1304.44202,3.28084
0,1476.324004,3.28084
0,1511.805277,3.28084
0,1685.220789,3.28084
0,1570.721808,3.28084
0,2813.046345,3.28084
0,4055.370881,3.28084
0,4289.795386,3.28084
0,4370.153578,3.28084
0,7557.223514,3.28084
0,6541.640128,3.28084
0,6396.022534,3.28084
0,6195.855892,3.28084
0,1599.021805,3.28084
0,1131.838694,3.28084
0,664.6555832,3.28084
0,1125.915453,3.28084
0,1284.888525,3.28084
0,1270.555121,3.28084
0,1242.28788,3.28084
0,923.4846652,3.28084
0,840.1004333,3.28084
0,1003.025023,3.28084
0,1179.883449,3.28084
0,1179.883449,3.28084
0,1375.059345,3.28084
0,1570.235242,3.28084
0,1765.411138,3.28084
0,1775.61879,3.28084
0,1590.650546,3.28084
0,1405.682302,3.28084
0,1220.714058,3.28084
0,949.6911559,3.28084
0,685.3234871,3.28084
0,420.9558183,3.28084
0,158.7086355,3.28084
0,161.9614309,3.28084
0,158.5589928,3.28084
0,152.7815501,3.28084
0,138.7325729,3.28084
0,130.2065199,3.28084
0,121.6804669,3.28084
0,113.2504034,3.28084
0,100.6253121,3.28084
0,87.00907069,3.28084
0,73.39282928,3.28084
0,58.93736088,3.28084
0,54.82796877,3.28084
0,49.04412647,3.28084
0,41.11084333,3.28084
0,35.86527823,3.28084
0,31.36026974,3.28084
0,34.0621692,3.28084
0,47.90796372,3.28084
0,62.18428221,3.28084
0,81.8051651,3.28084
0,96.88474032,3.28084
0,104.4737038,3.28084
0,92.19026601,3.28084
0,72.26101808,3.28084
0,55.76731059,3.28084
0,36.57416521,3.28084
0,37.11298503,3.28084
0,38.64336837,3.28084
0,36.73821127,3.28084
0,36.02864959,3.28084
0,40.63776636,3.28084
0,48.67379067,3.28084
0,58.20681018,3.28084
0,67.57279719,3.28084
0,68.74889581,3.28084
0,68.76636062,3.28084
0,64.78483632,3.28084
0,55.15557792,3.28084
0,48.53796546,3.28084
0,40.29088173,3.28084
0,34.93590948,3.28084
0,35.39570384,3.28084
0,38.92820563,3.28084
0,42.39103061,3.28084
0,48.29739633,3.28084
0,53.27153054,3.28084
0,62.22538176,3.28084
0,71.86314949,3.28084
0,101.2509228,3.28084
0,131.5709277,3.28084
0,271.0511074,3.28084
0,267.6390155,3.28084
0,241.6432597,3.28084
0,215.6475039,3.28084
0,67.88221943,3.28084
0,62.32529003,3.28084
0,55.58801984,3.28084
0,48.85074965,3.28084
0,48.11744684,3.28084
0,47.38414402,3.28084
0,47.831182,3.28084
0,51.52970255,3.28084
0,59.22306939,3.28084
0,64.0330799,3.28084
0,70.51270789,3.28084
0,75.46689559,3.28084
0,78.44885244,3.28084
0,84.31416562,3.28084
0,94.4168885,3.28084
0,102.7935691,3.28084
0,294.2750759,3.28084
0,739.7471378,3.28084
0,1179.312173,3.28084
0,1211.830161,3.28084
0,1034.993393,3.28084
0,601.0772653,3.28084
0,167.161138,3.28084
0,148.1674347,3.28084
