Type,Radius,Track
0,3732.076051,6.56168
0,3384.815131,6.56168
0,2943.676718,6.56168
0,2649.584444,6.56168
0,2558.559982,6.56168
0,3177.573035,6.56168
0,3219.41555,6.56168
0,3457.65979,6.56168
0,3889.888914,6.56168
0,4322.118038,6.56168
0,4754.347161,6.56168
0,3973.869597,6.56168
0,3438.805655,6.56168
0,3198.908544,6.56168
0,3073.409303,6.56168
0,3323.277207,6.56168
0,4725.096788,6.56168
0,4836.854123,6.56168
0,34851.17265,6.56168
0,34597.70217,6.56168
0,34229.83382,6.56168
0,33486.59832,6.56168
0,31625.08915,6.56168
0,31162.58808,6.56168
0,1488.859738,6.56168
0,1484.685936,6.56168
0,1411.264287,6.56168
0,1389.353758,6.56168
0,1282.097189,6.56168
0,1108.818727,6.56168
0,387.6323017,6.56168
0,264.2984812,6.56168
0,213.2513176,6.56168
0,106.5156197,6.56168
0,49.44827777,6.56168
0,43.50044033,6.56168
0,41.48844064,6.56168
0,40.31865534,6.56168
0,36.40219791,6.56168
0,37.62539951,6.56168
0,42.28166248,6.56168
0,47.73172455,6.56168
0,54.6119136,6.56168
0,71.39767363,6.56168
0,105.6988087,6.56168
0,118.6246877,6.56168
0,158.9879633,6.56168
0,366.7729154,6.56168
0,571.8680147,6.56168
0,627.183061,6.56168
0,765.0906703,6.56168
0,825.0998054,6.56168
0,1179.365059,6.56168
0,1121.206254,6.56168
0,977.4459776,6.56168
0,973.099828,6.56168
0,868.3536026,6.56168
0,888.9569832,6.56168
0,674.538847,6.56168
0,2114.353386,6.56168
0,2530.236537,6.56168
0,2814.940361,6.56168
0,2840.160818,6.56168
0,3179.76001,6.56168
0,3195.25494,6.56168
0,2558.506477,6.56168
0,2292.987967,6.56168
0,7050.096954,6.56168
0,7725.473231,6.56168
0,8034.439126,6.56168
0,8080.570952,6.56168
0,7206.559465,6.56168
0,7733.865578,6.56168
0,3369.72352,6.56168
0,2904.301561,6.56168
0,11953.65473,6.56168
0,12039.18987,6.56168
0,12065.87574,6.56168
