,Radius (ft),Length(ft)
0,214.5526858,3.28084
0,715.853073,3.28084
0,735.1306291,3.28084
0,734.9063952,3.28084
0,674.3847859,3.28084
0,622.5807081,3.28084
0,570.7766303,3.28084
0,66.52158455,3.28084
0,43.75072785,3.28084
0,47.80155764,3.28084
0,103.3897586,3.28084
0,159.5859385,3.28084
0,173.6224361,3.28084
0,180.1428239,3.28084
0,185.6003223,3.28084
0,179.4074907,3.28084
0,123.3835321,3.28084
0,67.35957342,3.28084
0,53.04030145,3.28084
0,49.26784458,3.28084
0,45.49538771,3.28084
0,46.05336441,3.28084
0,810.0571926,3.28084
0,1404.905039,3.28084
0,1426.00427,3.28084
0,1444.853258,3.28084
0,1445.323834,3.28084
0,1444.359046,3.28084
0,681.1215592,3.28084
0,87.0400544,3.28084
0,74.95693207,3.28084
0,62.87380973,3.28084
0,69.16910026,3.28084
0,76.89975451,3.28084
0,95.13878154,3.28084
0,113.3778086,3.28084
0,105.7952798,3.28084
0,98.29816783,3.28084
0,91.94287517,3.28084
0,85.58758251,3.28084
0,68.78803373,3.28084
0,51.20028465,3.28084
0,53.3234539,3.28084
0,55.36120633,3.28084
0,57.70633987,3.28084
0,63.86736478,3.28084
0,159.6395106,3.28084
0,169.2758003,3.28084
0,177.2279566,3.28084
0,175.6233111,3.28084
0,172.0921163,3.28084
0,164.7450301,3.28084
0,68.5472861,3.28084
0,62.79041872,3.28084
0,82.99875372,3.28084
0,112.7638905,3.28084
0,954.3099636,3.28084
0,1004.797523,3.28084
0,1033.792862,3.28084
0,1035.91727,3.28084
0,1012.076476,3.28084
0,992.3004133,3.28084
0,154.6649961,3.28084
0,108.0880924,3.28084
0,82.24294615,3.28084
0,79.75191086,3.28084
0,74.01708893,3.28084
0,65.74942241,3.28084
0,64.03752337,3.28084
0,73.32811621,3.28084
0,161.6426913,3.28084
0,249.9572664,3.28084
0,267.2732153,3.28084
0,283.0572765,3.28084
0,294.5719072,3.28084
0,295.084046,3.28084
0,216.5722025,3.28084
0,144.7659645,3.28084
0,154.5261363,3.28084
0,179.3011151,3.28084
0,296.2155005,3.28084
0,367.3551696,3.28084
0,438.4948387,3.28084
0,502.9289022,3.28084
0,525.7656492,3.28084
0,533.5875892,3.28084
0,453.5395531,3.28084
0,419.2662334,3.28084
0,454.2139645,3.28084
0,445.443455,3.28084
0,462.3386136,3.28084
0,479.2337721,3.28084
0,496.1289307,3.28084
0,572.5673833,3.28084
0,579.784785,3.28084
0,648.8209516,3.28084
0,726.4647699,3.28084
0,804.1085882,3.28084
0,925.8158924,3.28084
0,874.5593772,3.28084
0,851.6655101,3.28084
0,876.5509671,3.28084
0,824.7713979,3.28084
0,772.9918288,3.28084
0,846.636521,3.28084
0,2523.875887,3.28084
0,2565.225867,3.28084
0,2540.695998,3.28084
0,2592.831156,3.28084
0,2644.966313,3.28084
0,2527.613723,3.28084
0,861.689539,3.28084
0,861.2912629,3.28084
0,860.8929868,3.28084
0,1106.414182,3.28084
0,3099.869709,3.28084
0,5093.325235,3.28084
0,5188.735513,3.28084
0,5119.879775,3.28084
0,5037.574777,3.28084
0,4678.349674,3.28084
0,2596.802649,3.28084
0,554.5881412,3.28084
0,468.8163278,3.28084
0,477.8241061,3.28084
0,500.2811456,3.28084
0,553.7388167,3.28084
0,581.5840799,3.28084
0,503.9547713,3.28084
0,415.4778155,3.28084
0,335.9311669,3.28084
0,254.5129902,3.28084
0,173.0948136,3.28084
0,93.36151231,3.28084
0,82.63246445,3.28084
0,82.75106391,3.28084
0,84.23135086,3.28084
0,88.04489899,3.28084
0,92.62148356,3.28084
0,98.05815353,3.28084
0,100.6326243,3.28084
0,104.781903,3.28084
0,110.1264413,3.28084
0,120.6935842,3.28084
0,137.5718611,3.28084
0,151.9051772,3.28084
0,191.8220756,3.28084
0,230.164166,3.28084
0,268.5062565,3.28084
0,467.3593973,3.28084
0,446.4016896,3.28084
0,420.0929453,3.28084
0,366.3009249,3.28084
0,311.1059708,3.28084
0,256.2940413,3.28084
0,36.11709652,3.28084
0,28.77328721,3.28084
0,26.38525051,3.28084
0,25.67087848,3.28084
0,26.35944022,3.28084
0,26.86441853,3.28084
0,28.35809413,3.28084
0,28.75018187,3.28084
0,29.30311198,3.28084
0,29.36151039,3.28084
0,69.81191515,3.28084
0,110.0628786,3.28084
0,139.3356895,3.28084
0,169.6136309,3.28084
0,172.532223,3.28084
0,174.0329638,3.28084
0,134.8557954,3.28084
0,98.14071084,3.28084
0,70.58470873,3.28084
0,47.11346813,3.28084
0,51.23599832,3.28084
0,57.49694084,3.28084
0,69.40893517,3.28084
0,73.98989454,3.28084
0,75.56615006,3.28084
0,75.00486208,3.28084
0,74.31159306,3.28084
0,73.61832404,3.28084
0,67.5599061,3.28084
0,69.75163271,3.28084
0,74.94806317,3.28084
0,77.14416492,3.28084
0,87.17258762,3.28084
0,242.7293301,3.28084
0,398.2860727,3.28084
0,469.7408328,3.28084
0,541.1955929,3.28084
0,1100.092541,3.28084
0,1301.83052,3.28084
0,1263.505847,3.28084
0,1225.181174,3.28084
0,1267.577289,3.28084
0,1265.395729,3.28084
0,776.8250922,3.28084
0,637.7130837,3.28084
0,557.4794439,3.28084
0,477.2458041,3.28084
0,363.8508204,3.28084
0,287.6845173,3.28084
0,209.5269132,3.28084
0,131.3693092,3.28084
0,88.29602075,3.28084
0,45.22273232,3.28084
0,36.01013435,3.28084
0,36.12787235,3.28084
0,37.52758544,3.28084
0,38.92729853,3.28084
0,38.53844837,3.28084
0,37.58199226,3.28084
0,35.92618962,3.28084
0,33.75129851,3.28084
0,31.07239312,3.28084
0,28.8670772,3.28084
0,28.18687106,3.28084
0,27.95469302,3.28084
0,29.83459106,3.28084
0,31.78622174,3.28084
0,194.6937552,3.28084
0,357.1276993,3.28084
0,520.3967453,3.28084
0,527.5816774,3.28084
0,527.7148781,3.28084
0,526.3140938,3.28084
0,365.1664392,3.28084
0,204.5737935,3.28084
0,488.519189,3.28084
0,928.6682762,3.28084
0,930.192821,3.28084
0,931.7173658,3.28084
0,933.2462181,3.28084
0,930.815857,3.28084
0,484.5737903,3.28084
0,37.95317338,3.28084
0,34.26534096,3.28084
0,30.34303508,3.28084
0,26.86721383,3.28084
0,28.26266971,3.28084
0,29.87793445,3.28084
0,32.15511958,3.28084
0,35.11815989,3.28084
0,38.62328329,3.28084
0,47.23374076,3.28084
0,70.36565837,3.28084
0,92.55143165,3.28084
0,109.9920831,3.28084
0,354.697695,3.28084
0,424.5703283,3.28084
0,466.2913244,3.28084
0,458.847273,3.28084
0,451.4032216,3.28084
0,443.2748142,3.28084
0,201.5458316,3.28084
0,134.3422179,3.28084
0,87.8563724,3.28084
0,72.72084095,3.28084
0,56.95791976,3.28084
0,47.27802802,3.28084
0,43.87930921,3.28084
0,41.17781433,3.28084
0,41.8905821,3.28084
0,47.74969679,3.28084
0,54.23620123,3.28084
0,82.9874247,3.28084
0,110.4210934,3.28084
0,137.1575382,3.28084
0,143.632968,3.28084
0,148.1797265,3.28084
0,153.1503856,3.28084
0,134.7851602,3.28084
0,122.4603994,3.28084
0,110.1356387,3.28084
0,122.8021447,3.28084
0,134.0771758,3.28084
0,131.7525969,3.28084
0,132.7535967,3.28084
0,129.0316866,3.28084
0,125.3097765,3.28084
0,119.2198698,3.28084
0,125.056803,3.28084
0,146.6909207,3.28084
0,165.1337033,3.28084
0,183.576486,3.28084
0,195.2664338,3.28084
0,201.9681312,3.28084
0,196.2282703,3.28084
0,187.8669342,3.28084
0,179.5055981,3.28084
0,173.6004292,3.28084
0,169.3789922,3.28084
0,161.2815781,3.28084
0,152.5313892,3.28084
0,141.3464377,3.28084
0,130.1614861,3.28084
0,116.2094588,3.28084
0,107.3265344,3.28084
0,103.4133699,3.28084
0,103.0928512,3.28084
0,103.4065441,3.28084
0,103.720237,3.28084
0,116.7221115,3.28084
0,214.7978453,3.28084
0,312.873579,3.28084
0,641.4160283,3.28084
0,971.7590287,3.28084
0,1003.659725,3.28084
0,1017.310667,3.28084
0,1151.773631,3.28084
0,1286.236596,3.28084
0,1000.878724,3.28084
0,661.4623722,3.28084
0,620.4883248,3.28084
0,584.1219476,3.28084
0,342.0473308,3.28084
0,100.3419359,3.28084
0,45.58846006,3.28084
0,45.65569983,3.28084
0,45.72293961,3.28084
0,47.05499043,3.28084
0,81.27538054,3.28084
0,176.0250804,3.28084
0,270.7518291,3.28084
0,285.4057352,3.28084
0,292.0889063,3.28084
0,296.7070357,3.28084
0,268.5313064,3.28084
0,183.1503643,3.28084
0,102.8652678,3.28084
0,266.6405339,3.28084
0,438.386535,3.28084
0,612.1975777,3.28084
0,631.7762868,3.28084
0,647.661677,3.28084
0,635.1856389,3.28084
0,455.5880231,3.28084
0,275.0505041,3.28084
0,93.9971676,3.28084
0,66.58399238,3.28084
0,39.11250685,3.28084
0,34.90660384,3.28084
0,33.07252301,3.28084
0,32.1783454,3.28084
0,31.77038959,3.28084
0,32.32329718,3.28084
0,34.72357175,3.28084
0,37.82691394,3.28084
0,40.93025613,3.28084
0,44.03359832,3.28084
0,51.23825611,3.28084
0,55.93090389,3.28084
0,60.75079383,3.28084
0,73.23510315,3.28084
0,85.71941248,3.28084
0,140.0752317,3.28084
0,143.6811334,3.28084
0,140.544983,3.28084
0,133.070056,3.28084
0,116.7808289,3.28084
0,101.4319214,3.28084
0,44.2115039,3.28084
0,33.66928406,3.28084
0,31.74031274,3.28084
0,32.2338192,3.28084
0,35.48307947,3.28084
0,38.28402507,3.28084
0,42.68225531,3.28084
0,45.76615363,3.28084
0,49.36731332,3.28084
0,57.87015978,3.28084
0,64.06406554,3.28084
0,82.21611741,3.28084
0,2124.124146,3.28084
0,2154.843887,3.28084
0,2208.398991,3.28084
0,2257.052408,3.28084
0,2284.481478,3.28084
0,2278.680712,3.28084
0,240.3580737,3.28084
0,210.4356705,3.28084
0,155.1455145,3.28084
0,99.85535856,3.28084
0,65.64140017,3.28084
0,53.91285734,3.28084
0,52.83314828,3.28084
0,56.88028633,3.28084
0,57.98301869,3.28084
0,59.47482049,3.28084
0,63.60252617,3.28084
0,74.56741269,3.28084
0,82.05207675,3.28084
0,88.5122771,3.28084
0,140.3635366,3.28084
0,191.8257266,3.28084
0,205.6923206,3.28084
0,211.0160024,3.28084
0,222.001132,3.28084
0,232.9862617,3.28084
0,194.1678495,3.28084
0,155.3494374,3.28084
0,142.4462041,3.28084
0,132.1111479,3.28084
0,116.1146439,3.28084
0,98.36100121,3.28084
0,88.9662001,3.28084
0,79.57139899,3.28084
0,79.36926126,3.28084
0,75.65768978,3.28084
0,75.35437877,3.28084
0,77.41509035,3.28084
0,80.48897813,3.28084
0,82.56349574,3.28084
0,84.63801336,3.28084
0,86.0457009,3.28084
0,84.04512796,3.28084
0,81.55677659,3.28084
0,79.06842521,3.28084
0,81.01144187,3.28084
0,492.3197241,3.28084
0,527.7956715,3.28084
0,563.2716188,3.28084
0,570.6954392,3.28084
0,578.1192597,3.28084
0,582.1110822,3.28084
0,176.2319071,3.28084
0,147.7931537,3.28084
0,116.1593908,3.28084
0,113.4830099,3.28084
0,110.806629,3.28084
0,109.7194272,3.28084
0,120.4242486,3.28084
0,169.6910151,3.28084
0,195.4962417,3.28084
0,216.0617384,3.28084
0,234.6723137,3.28084
0,382.2846249,3.28084
0,720.6724012,3.28084
0,1020.498232,3.28084
0,1496.539905,3.28084
