,Radius (ft),Length (ft)
0,32.09619617,13.12336
0,65.29071653,13.12336
0,139.0101528,13.12336
0,32.75780416,13.12336
0,28.62225275,13.12336
0,28.38708106,13.12336
0,35.67762152,13.12336
0,30.19085264,13.12336
0,26.86828181,13.12336
0,32.63910206,13.12336
0,58.58824738,13.12336
0,27.16101204,13.12336
0,21.08402618,13.12336
0,26.24936717,13.12336
0,51.51853338,13.12336
